/DIM/ 41.0000	41.0000	41.0000
/MID/ -8.0000	3.0000	-21.0000
/SPACING/ 0.5000
/COM/ -13.3779	1.2274	-17.6977
/RAY/ 1.3173	-2.0796	32.9233	1
/RAY/ 1.6103	-2.0873	31.4598	1
/RAY/ 1.5944	-2.0873	31.4440	1
/RAY/ 1.5785	-2.0873	31.4362	1
/RAY/ 1.3289	-2.0873	32.3783	1
/RAY/ 1.5947	-2.0953	31.0104	1
/RAY/ 1.5786	-2.0953	31.0024	1
/RAY/ 1.5625	-2.0953	31.0025	1
/RAY/ 1.5464	-2.0953	31.0107	1
/RAY/ 1.3256	-2.0953	31.9573	1
/RAY/ 1.5624	-2.1035	30.5708	1
/RAY/ 1.5460	-2.1035	30.5791	1
/RAY/ 1.3223	-2.1035	31.5386	1
/RAY/ 1.5457	-2.1119	30.1496	1
/RAY/ 1.5291	-2.1119	30.1663	1
/RAY/ 1.5125	-2.1119	30.1912	1
/RAY/ 1.4960	-2.1119	30.2245	1
/RAY/ 1.3189	-2.1119	31.1224	1
/RAY/ 1.3034	-2.1119	31.2507	1
/RAY/ 1.4950	-2.1206	29.7982	1
/RAY/ 1.4783	-2.1206	29.8403	1
/RAY/ 1.2997	-2.1206	30.8387	1
/RAY/ 1.4769	-2.1295	29.4170	1
/RAY/ 1.2960	-2.1295	30.4293	1
/RAY/ 1.4756	-2.1387	28.9961	1
/RAY/ 1.4584	-2.1387	29.0479	1
/RAY/ 1.4413	-2.1387	29.1082	1
/RAY/ 1.2922	-2.1387	30.0226	1
/RAY/ 1.2762	-2.1387	30.1639	1
/RAY/ 1.4568	-2.1481	28.6303	1
/RAY/ 1.4395	-2.1481	28.6915	1
/RAY/ 1.4222	-2.1481	28.7613	1
/RAY/ 1.4051	-2.1481	28.8395	1
/RAY/ 1.3880	-2.1481	28.9262	1
/RAY/ 1.3711	-2.1481	29.0213	1
/RAY/ 1.2721	-2.1481	29.7620	1
/RAY/ 1.2561	-2.1481	29.9130	1
/RAY/ 1.4551	-2.1578	28.2154	1
/RAY/ 1.4375	-2.1578	28.2775	1
/RAY/ 1.4200	-2.1578	28.3483	1
/RAY/ 1.3854	-2.1578	28.5156	1
/RAY/ 1.3682	-2.1578	28.6120	1
/RAY/ 1.3511	-2.1578	28.7168	1
/RAY/ 1.3342	-2.1578	28.8299	1
/RAY/ 1.2518	-2.1578	29.5161	1
/RAY/ 1.3479	-2.1679	28.3121	1
/RAY/ 1.3308	-2.1679	28.4267	1
/RAY/ 1.3138	-2.1679	28.5497	1
/RAY/ 1.2969	-2.1679	28.6809	1
/RAY/ 1.2802	-2.1679	28.8202	1
/RAY/ 1.2637	-2.1679	28.9674	1
/RAY/ 1.2473	-2.1679	29.1225	1
/RAY/ 1.3100	-2.1782	28.1514	1
/RAY/ 1.2930	-2.1782	28.2845	1
/RAY/ 1.2761	-2.1782	28.4257	1
/RAY/ 1.2593	-2.1782	28.5749	1
/RAY/ 1.2427	-2.1782	28.7321	1
/RAY/ 1.2718	-2.1889	28.0345	1
/RAY/ 1.2549	-2.1889	28.1858	1
/RAY/ 1.2381	-2.1889	28.3452	1
/RAY/ 1.2812	-1.9999	37.6770	1
/RAY/ 1.2778	-2.0058	37.2421	1
/RAY/ 1.2742	-2.0118	36.8088	1
/RAY/ 1.2706	-2.0179	36.3772	1
/RAY/ 1.2575	-2.0179	36.5282	1
/RAY/ 1.6650	-2.0242	34.4529	1
/RAY/ 1.6506	-2.0242	34.4095	1
/RAY/ 1.6361	-2.0242	34.3733	1
/RAY/ 1.2669	-2.0242	35.9474	1
