/DIM/ 29.0000	29.0000	29.0000
/MID/ -15.0000	1.0000	-17.0000
/SPACING/ 0.5000
/COM/ -14.9596	2.0025	-17.5101
/RAY/ 1.3653	-2.2810	31.3924	1
/RAY/ 1.2887	-2.2810	31.9963	1
/RAY/ 1.2738	-2.2810	32.1390	1
/RAY/ 1.2590	-2.2810	32.2889	1
/RAY/ 1.3786	-2.2918	30.9237	1
/RAY/ 1.3628	-2.2918	31.0231	1
/RAY/ 1.3471	-2.2918	31.1301	1
/RAY/ 1.2703	-2.2918	31.7784	1
/RAY/ 1.2554	-2.2918	31.9299	1
/RAY/ 1.3444	-2.3028	30.7658	1
/RAY/ 1.3286	-2.3028	30.8819	1
/RAY/ 1.3130	-2.3028	31.0056	1
/RAY/ 1.2974	-2.3028	31.1368	1
/RAY/ 1.2820	-2.3028	31.2755	1
/RAY/ 1.2668	-2.3028	31.4215	1
/RAY/ 1.2517	-2.3028	31.5748	1
/RAY/ 1.3368	-2.2007	34.0958	1
/RAY/ 1.3340	-2.2097	33.7042	1
/RAY/ 1.5583	-2.2189	32.3664	1
/RAY/ 1.3312	-2.2189	33.3155	1
/RAY/ 1.5581	-2.2283	31.9692	1
/RAY/ 1.5425	-2.2283	31.9795	1
/RAY/ 1.3283	-2.2283	32.9297	1
/RAY/ 1.5579	-2.2380	31.5750	1
/RAY/ 1.5421	-2.2380	31.5854	1
/RAY/ 1.5263	-2.2380	31.6037	1
/RAY/ 1.3254	-2.2380	32.5471	1
/RAY/ 1.3106	-2.2380	32.6722	1
/RAY/ 1.5418	-2.2479	31.1943	1
/RAY/ 1.5257	-2.2479	31.2128	1
/RAY/ 1.5098	-2.2479	31.2393	1
/RAY/ 1.4938	-2.2479	31.2738	1
/RAY/ 1.3075	-2.2479	32.2943	1
/RAY/ 1.2926	-2.2479	32.4280	1
/RAY/ 1.5090	-2.2581	30.8520	1
/RAY/ 1.4928	-2.2581	30.8869	1
/RAY/ 1.4767	-2.2581	30.9299	1
/RAY/ 1.4606	-2.2581	30.9808	1
/RAY/ 1.4446	-2.2581	31.0398	1
/RAY/ 1.4287	-2.2581	31.1066	1
/RAY/ 1.3043	-2.2581	31.9197	1
/RAY/ 1.2893	-2.2581	32.0550	1
/RAY/ 1.4431	-2.2685	30.6580	1
/RAY/ 1.4269	-2.2685	30.7257	1
/RAY/ 1.4108	-2.2685	30.8014	1
/RAY/ 1.3949	-2.2685	30.8850	1
/RAY/ 1.3790	-2.2685	30.9764	1
/RAY/ 1.2859	-2.2685	31.6855	1
/RAY/ 1.2708	-2.2685	31.8297	1
/RAY/ 1.3927	-2.2792	30.5095	1
/RAY/ 1.3766	-2.2792	30.6021	1
/RAY/ 1.3606	-2.2792	30.7025	1
/RAY/ 1.3447	-2.2792	30.8107	1
/RAY/ 1.2672	-2.2792	31.4655	1
/RAY/ 1.3580	-2.2902	30.3330	1
/RAY/ 1.3420	-2.2902	30.4425	1
/RAY/ 1.3260	-2.2902	30.5598	1
/RAY/ 1.3102	-2.2902	30.6848	1
/RAY/ 1.2945	-2.2902	30.8174	1
/RAY/ 1.2790	-2.2902	30.9576	1
/RAY/ 1.2636	-2.2902	31.1051	1
/RAY/ 1.3391	-2.3015	30.0782	1
/RAY/ 1.3230	-2.3015	30.1969	1
/RAY/ 1.3070	-2.3015	30.3234	1
/RAY/ 1.3348	-2.1884	33.8118	1
/RAY/ 1.5583	-2.1973	32.4707	1
